Empirical Confusion Matrix (N=3863, Acc=98.7057%, MacroF1=99.4670%)

                                                                           Alternador defectuoso o faja suelta  Amortiguadores reventados o bujes de suspension gastados  Averia detectada en sistema P0  Averia detectada en sistema P2  Averia detectada en sistema P3  Averia detectada en sistema U0  Bateria descargada o arrancador defectuoso  Bomba de gasolina / combustible quemada o sin presion  Bombin o cable de embrague desajustado  Bujias desgastadas o bobina de encendido defectuosa  Bujias desgastadas o gasolina de bajo octanaje (preignicion)  Caja o cremallera de direccion asistida con fuga  Consumo de aceite por anillos de piston gastados  Daño o desalineacion en la chapa / mecanismo de seguro de la puerta  Degradacion o falla en paquete de bateria de alto voltaje (EV / Híbridos)  Disco de embrague (clutch) desgastado o patinando  Discos de freno deformados o alabeados  El motor esta consumiendo aceite (anillos de piston gastados)  Elevalunas / levanta vidrios electrico defectuoso  Falla de control electronico Ma  Falla de control electronico P0  Falla de sensores del sistema del vehiculo  Falla en el rele o motor del ventilador del radiador  Falla en el turbocompresor o intercooler (Camiones Diésel)  Falla en sistema de frenado regenerativo (EV / Híbridos)  Fallo en el servo freno (booster)  Fallo en inversor de corriente o motor electrico (EV)  Falta o degradacion de aceite de caja de cambios  Filtro de combustible o inyectores sucios  Filtro de combustible obstruido o inyectores sucios  Foco o falla en sistema de refrigeracion de bateria/inversor (EV)  Fuga de liquido de frenos o aire en cañerias  Fuga de liquido de frenos o aire en el sistema  Fuga en mangueras de refrigerante o radiador picado  Fuga o baja presion en sistema Common Rail Diésel (Camiones/Pickups)  Fugas de aire o fallos en el sistema de frenos neumático (Camiones)  Juntas homocineticas (palieres) dañadas  Limpiaparabrisas / motor pluma quemado  Llantas desalineadas, desbalanceadas o deformadas  Mezcla rica (demasiado combustible / falla de sensor de oxigeno)  Pastillas de freno desgastadas  Sensor de oxigeno defectuoso  Sensor de oxigeno defectuoso o bujias en mal estado  Soplo de empaque de culata  Soplo de empaque de culata (ingreso de refrigerante al motor)  Soportes de motor rotos o inyectores sucios  Valvula IAC sucia u obstruida (control de minimo)  Valvula IAC sucia u obstruida (minimo)
Alternador defectuoso o faja suelta                                                                         11                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Amortiguadores reventados o bujes de suspension gastados                                                     0                                                        13                               0                               0                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Averia detectada en sistema P0                                                                               0                                                         0                             229                              26                               0                               1                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Averia detectada en sistema P2                                                                               0                                                         0                              23                             138                               0                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Averia detectada en sistema P3                                                                               0                                                         0                               0                               0                              25                               0                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Averia detectada en sistema U0                                                                               0                                                         0                               0                               0                               0                              75                                           0                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Bateria descargada o arrancador defectuoso                                                                   0                                                         0                               0                               0                               0                               0                                          21                                                      0                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Bomba de gasolina / combustible quemada o sin presion                                                        0                                                         0                               0                               0                               0                               0                                           0                                                      6                                       0                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Bombin o cable de embrague desajustado                                                                       0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       6                                                    0                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
Bujias desgastadas o bobina de encendido defectuosa                                                          0                                                         0                               0                               0                               0                               0                                           0                                                      0                                       0                                                    7                                                             0                                                 0                                                 0                                                                    0                                                                          0                                                  0                                       0                                                              0                                                  0                                0                                0                                           0                                                     0                                                           0                                                         0                                  0                                                      0                                                 0                                          0                                                    0                                                                  0                                             0                                               0                                                    0                                                                     0                                                                    0                                        0                                       0                                                  0                                                                 0                               0                             0                                                    0                           0                                                              0                                            0                                                  0                                       0
